"","city_id","commentary_primary","commentary_secondary","terr_id","sovereign_number","time_point","observation","point_id","type_reign","type_change","city_status","hanse","foreign_rule","multiple_1","multiple_2","multiple_3","multiple_4","multiple_5","multiple_6","multiple_7","multiple_8","multiple_9","multiple_10","multiple_11","multiple_12","multiple_13","multiple_14","multiple_15","multiple_16","uncertainty_1","uncertainty_2","uncertainty_3","source"
"1",1001,"1256 bis 1525 Dt. Orden","","D063","",1400,1,1,0,6,0,0,"P121","","","","","","","","","","","","","","","","",0,1,0,"3, 10"
"2",1001,"1256 bis 1525 Dt. Orden","","D063","",1450,1,2,0,6,0,0,"P121","","","","","","","","","","","","","","","","",0,1,0,"3, 10"
"3",1001,"1525 Hzt. Preussen","","P156","",1550,4,3,0,8,0,0,"P121","","","","","","","","","","","","","","","","",0,0,0,"10"
"4",1001,"","Mediatstadt der Fam. Polentz-Progen 1540-1810","0P0019","",1550,5,3,6,0,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"10"
"5",1001,"","Mediatstadt der Fam. Polentz-Progen 1540-1810","0P0019","",1650,5,4,6,0,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"10"
"6",1001,"1603 fällt Preußen an Brandenburg (märkische Hohenzollern) nach Aussterben der älteren Linie fränkischer Hohenzollern","","B3742","",1650,7,4,0,3,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"tree"
"7",1001,"1603 fällt Preußen an Brandenburg (märkische Hohenzollern) nach Aussterben der älteren Linie fränkischer Hohenzollern","","B3742","",1750,7,5,0,3,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"tree"
"8",1001,"","Mediatstadt der Fam. Polentz-Progen 1540-1810","0P0019","",1750,5,5,6,0,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"10"
"9",1001,"1603 fällt Preußen an Brandenburg (märkische Hohenzollern) nach Aussterben der älteren Linie fränkischer Hohenzollern","","B3742","",1850,7,6,0,3,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"tree"
"10",1002,"Bis 1466 Bt. Ermland unter Schutzherrschaft des Deutschen Ordens ","","D063","",1400,9,1,0,0,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"tree"
"11",1002,"","bis 1772 vom Pomesan. Domkapitel","E172","",1400,11,1,6,0,0,0,"","","","","","","","","","","","","","","","","",1,0,0,"10"
"12",1002,"Bis 1466 Bt. Ermland unter Schutzherrschaft des Deutschen Ordens ","","D063","",1450,9,2,0,0,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"tree"
"13",1002,"","bis 1772 vom Pomesan. Domkapitel","E172","",1450,11,2,6,0,0,0,"","","","","","","","","","","","","","","","","",1,0,0,"10"
"14",1002,"1466 unter der Oberherrschaft des Kg. Polens nach dem Zweiten Frieden von Thorn","","0J0011","",1550,13,3,0,7,0,0,"P121","","","","","","","","","","","","","","","","",0,0,0,"tree"
"15",1002,"","bis 1772 vom Pomesan. Domkapitel","E172","",1550,11,3,6,0,0,0,"","","","","","","","","","","","","","","","","",1,0,0,"10"
"16",1002,"1586 die polnische Linie der Vasa (schwedisches Königsgeschlecht) Könige Polens. Damit Herrscher über das Fürstbistum Ermland","","0V0013","",1650,16,4,0,0,0,0,"P121","","","","","","","","","","","","","","","","",0,0,0,"tree"
"17",1002,"","bis 1772 vom Pomesan. Domkapitel","E172","",1650,11,4,6,0,0,0,"","","","","","","","","","","","","","","","","",1,0,0,"10"
"18",1002,"","bis 1772 vom Pomesan. Domkapitel","E172","",1750,11,5,6,0,0,0,"","","","","","","","","","","","","","","","","",1,0,0,"10"
"19",1002,"1696 August I, Kurfürst von Sachsen zum König von Polen gewählt. Damit Herrscher über das Fürstbistum Ermland","","A060","",1750,19,5,0,0,0,0,"P121","","","","","","","","","","","","","","","","",0,0,0,"tree"
"20",1002,"1772 zu Preußen","","B3742","",1850,21,6,0,7,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"10"
"21",1003,"Deutscher Orden bis 1525","","D063","",1400,23,1,0,0,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"10"
"22",1003,"Deutscher Orden bis 1525","","D063","",1450,23,2,0,0,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"10"
"23",1003,"1525 das Deutschordensgebiet an preußische Nebenlinie Brandenburgs durch Säkularisation","","P156","",1550,24,3,0,8,0,0,"P121","","","","","","","","","","","","","","","","",0,0,0,"tree"
"24",1003,"1603 fällt Preußen an Brandenburg (märkische Hohenzollern) nach Aussterben der älteren Linie fränkischer Hohenzollern","","B3742","",1650,26,4,0,3,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"tree"
"25",1003,"1603 fällt Preußen an Brandenburg (märkische Hohenzollern) nach Aussterben der älteren Linie fränkischer Hohenzollern","","B3742","",1750,26,5,0,3,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"tree"
"26",1003,"1603 fällt Preußen an Brandenburg (märkische Hohenzollern) nach Aussterben der älteren Linie fränkischer Hohenzollern","","B3742","",1850,26,6,0,3,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"tree"
"27",1004,"Ab 1225 der Deutsche Orden in Preußen","","D063","",1400,28,1,0,0,0,0,"","","","","","","","","","","","","","","","","",0,0,0,"tree"
